Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
PPP1R10	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPP1R12A	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPP1R13B	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PPP1R13L	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPP1R14A	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PPP1R15B	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.0	0.012345679012345678	0.018867924528301886
PPP1R16B	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPP1R1A	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.0	0.018867924528301886
PPP1R3A	0.01079913606911447	0.005333333333333333	0.005649717514124294	0.02912621359223301	0.009569377990430622	0.0	0.024691358024691357	0.018867924528301886
PPP1R3B	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPP1R3F	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPP1R7	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPP1R8	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.0
PPP1R9A	0.01079913606911447	0.010666666666666666	0.011299435028248588	0.009708737864077669	0.009569377990430622	0.008928571428571428	0.0	0.03773584905660377
PPP2CA	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPP2CB	0.004319654427645789	0.0	0.0	0.019417475728155338	0.0	0.0	0.024691358024691357	0.0
PPP2R2D	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPP2R3A	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.0	0.017857142857142856	0.0	0.018867924528301886
PPP2R3C	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PPP2R4	0.0064794816414686825	0.005333333333333333	0.002824858757062147	0.019417475728155338	0.004784688995215311	0.0	0.024691358024691357	0.0
PPP2R5B	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PPP2R5C	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPP2R5D	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPP2R5E	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
